Fecha	Muestras	Casos	Activos	Acumulados	Fallecidos	Total fallecidos	Graves	Críticos
2021-09-20	51261	8289	40984	818200	63	6919	301	129
2021-09-21	53249	7151	40317	825351	59	6978	306	145
2021-09-22	54739	6935	39377	832286	70	7048	288	132
2021-09-23	50925	7695	36795	839981	56	7104	283	128
2021-09-24	53249	7513	35320	847494	59	7163	249	120
2021-09-25	51000	6673	34172	854167	64	7227	270	116
2021-09-26	48370	6632	33841	860799	52	7279	265	121
2021-09-27	42581	6009	32694	866808	51	7330	273	133
2021-09-28	43062	5617	30986	872425	48	7378	298	123
2021-09-29	46821	5003	28807	877428	58	7436	296	105
2021-09-30	47131	5049	27158	882477	50	7486	270	104
2021-10-01	45552	4873	25788	887350	48	7534	247	105
2021-10-02	42532	4097	23832	891447	46	7580	254	104
2021-10-03	40644	4272	23056	895719	38	7618	251	106
2021-10-04	33290	4793	22293	900512	45	7663	226	100
2021-10-05	38066	3596	20884	904108	40	7703	236	113
2021-10-06	42344	3833	20148	907941	39	7742	229	98
2021-10-07	40431	3396	19493	911337	35	7777	229	91
2021-10-08	39347	3442	18077	914779	35	7812	226	94
2021-10-09	37234	3604	16975	918383	39	7851	218	95
2021-10-10	32049	2945	16144	921328	40	7891	234	92
2021-10-11	27134	2638	15284	923966	37	7928	223	88
2021-10-12	27279	2354	13511	926320	28	7956	226	89
2021-10-13	29775	2364	11591	928684	38	7994	203	89
2021-10-14	32360	2138	10277	930822	24	8018	203	84
2021-10-15	31021	1946	8781	932768	19	8037	187	89
